Source Port,Target Port,Distance
Shanghai,Changshu,66
Shanghai,Nantong,95
Shanghai,Zhangjiagang,117
Shanghai,Jiangyin,153
Shanghai,Gaogang,215
Shanghai,Zhenjiang,270
Shanghai,Nanjing,350
Shanghai,Ma'anshan,396
Shanghai,Wuhu,439
Shanghai,Hefei,573
Shanghai,Tongling,533
Shanghai,Chizhou,573
Shanghai,Anqing,631
Shanghai,Jiujiang,784
Shanghai,Nanchang,948
Shanghai,Huangshi,900
Shanghai,Huanggang,932
Shanghai,Wuhan,1029
Shanghai,Jiayu,1156
Shanghai,Honghu,1201
Shanghai,Chenglingji,1257
Shanghai,Changsha,1488
Shanghai,Jingzhou,1653
Shanghai,Yichang,1820
Shanghai,Chongqing,2480
Changshu,Nantong,29
Changshu,Zhangjiagang,51
Changshu,Jiangyin,87
Changshu,Gaogang,149
Changshu,Zhenjiang,204
Changshu,Nanjing,284
Changshu,Ma'anshan,330
Changshu,Wuhu,373
Changshu,Hefei,507
Changshu,Tongling,467
Changshu,Chizhou,507
Changshu,Anqing,565
Changshu,Jiujiang,718
Changshu,Nanchang,882
Changshu,Huangshi,834
Changshu,Huanggang,866
Changshu,Wuhan,963
Changshu,Jiayu,1090
Changshu,Honghu,1135
Changshu,Chenglingji,1191
Changshu,Changsha,1422
Changshu,Jingzhou,1587
Changshu,Yichang,1754
Changshu,Chongqing,2414
Nantong,Zhangjiagang,22
Nantong,Jiangyin,58
Nantong,Gaogang,120
Nantong,Zhenjiang,175
Nantong,Nanjing,255
Nantong,Ma'anshan,301
Nantong,Wuhu,344
Nantong,Hefei,478
Nantong,Tongling,438
Nantong,Chizhou,478
Nantong,Anqing,536
Nantong,Jiujiang,689
Nantong,Nanchang,853
Nantong,Huangshi,805
Nantong,Huanggang,837
Nantong,Wuhan,934
Nantong,Jiayu,1061
Nantong,Honghu,1106
Nantong,Chenglingji,1162
Nantong,Changsha,1393
Nantong,Jingzhou,1558
Nantong,Yichang,1725
Nantong,Chongqing,2385
Zhangjiagang,Jiangyin,36
Zhangjiagang,Gaogang,98
Zhangjiagang,Zhenjiang,153
Zhangjiagang,Nanjing,233
Zhangjiagang,Ma'anshan,279
