Source Port,Target Port,Traveltime
Shanghai,Changshu,7.142857142857142
Changshu,Shanghai,3.1791907514450872
Shanghai,Nantong,10.28138528138528
Nantong,Shanghai,4.576107899807322
Shanghai,Zhangjiagang,12.662337662337661
Zhangjiagang,Shanghai,5.635838150289018
Shanghai,Jiangyin,16.558441558441558
Jiangyin,Shanghai,7.3699421965317935
Shanghai,Gaogang,23.26839826839827
Gaogang,Shanghai,10.356454720616572
Shanghai,Zhenjiang,29.22077922077922
Zhenjiang,Shanghai,13.005780346820812
Shanghai,Nanjing,37.878787878787875
Nanjing,Shanghai,16.859344894026975
Shanghai,Ma'anshan,42.857142857142854
Ma'anshan,Shanghai,19.075144508670522
Shanghai,Wuhu,47.51082251082251
Wuhu,Shanghai,21.146435452793835
Shanghai,Hefei,62.01298701298701
Hefei,Shanghai,27.601156069364162
Shanghai,Tongling,57.68398268398268
Tongling,Shanghai,25.67437379576108
Shanghai,Chizhou,62.012987012987004
Chizhou,Shanghai,27.601156069364162
Shanghai,Anqing,68.29004329004329
Anqing,Shanghai,30.39499036608863
Shanghai,Jiujiang,84.84848484848484
Jiujiang,Shanghai,37.764932562620416
Shanghai,Nanchang,102.59740259740259
Nanchang,Shanghai,45.664739884393065
Shanghai,Huangshi,97.4025974025974
Huangshi,Shanghai,43.35260115606937
Shanghai,Huanggang,100.86580086580085
Huanggang,Shanghai,44.894026974951835
Shanghai,Wuhan,111.36363636363635
Wuhan,Shanghai,49.566473988439306
Shanghai,Jiayu,125.10822510822508
Jiayu,Shanghai,55.68400770712909
Shanghai,Honghu,129.97835497835496
Honghu,Shanghai,57.85163776493256
Shanghai,Chenglingji,136.03896103896102
Chenglingji,Shanghai,60.54913294797688
Shanghai,Changsha,147.16612866901883
Changsha,Shanghai,85.54913294797689
Shanghai,Jingzhou,155.11410554763154
Jingzhou,Shanghai,103.40627580511975
Shanghai,Yichang,163.1584215399244
Yichang,Shanghai,121.47986887871281
Shanghai,Chongqing,194.9503290543753
Chongqing,Shanghai,192.90844030728425
Changshu,Nantong,3.1385281385281383
Nantong,Changshu,1.3969171483622351
Changshu,Zhangjiagang,5.519480519480519
Zhangjiagang,Changshu,2.4566473988439306
Changshu,Jiangyin,9.415584415584416
Jiangyin,Changshu,4.190751445086706
Changshu,Gaogang,16.125541125541126
Gaogang,Changshu,7.177263969171484
Changshu,Zhenjiang,22.07792207792208
Zhenjiang,Changshu,9.826589595375724
Changshu,Nanjing,30.735930735930737
Nanjing,Changshu,13.68015414258189
Changshu,Ma'anshan,35.714285714285715
Ma'anshan,Changshu,15.895953757225435
Changshu,Wuhu,40.36796536796537
Wuhu,Changshu,17.967244701348747
Changshu,Hefei,54.87012987012987
Hefei,Changshu,24.421965317919074
Changshu,Tongling,50.54112554112554
Tongling,Changshu,22.495183044315993
Changshu,Chizhou,54.870129870129865
Chizhou,Changshu,24.421965317919074
Changshu,Anqing,61.14718614718614
Anqing,Changshu,27.215799614643544
Changshu,Jiujiang,77.7056277056277
Jiujiang,Changshu,34.58574181117533
Changshu,Nanchang,95.45454545454545
Nanchang,Changshu,42.48554913294798
Changshu,Huangshi,90.25974025974025
Huangshi,Changshu,40.173410404624285
Changshu,Huanggang,93.72294372294371
Huanggang,Changshu,41.71483622350675
Changshu,Wuhan,104.2207792207792
Wuhan,Changshu,46.38728323699422
Changshu,Jiayu,117.96536796536795
Jiayu,Changshu,52.50481695568401
Changshu,Honghu,122.83549783549782
Honghu,Changshu,54.67244701348748
Changshu,Chenglingji,128.89610389610388
Chenglingji,Changshu,57.369942196531795
Changshu,Changsha,140.0232715261617
Changsha,Changshu,82.3699421965318
Changshu,Jingzhou,147.9712484047744
Jingzhou,Changshu,100.22708505367466
Changshu,Yichang,156.01556439706727
Yichang,Changshu,118.30067812726772
Changshu,Chongqing,187.80747191151812
Chongqing,Changshu,189.72924955583917
Nantong,Zhangjiagang,2.380952380952381
Zhangjiagang,Nantong,1.0597302504816957
Nantong,Jiangyin,6.277056277056277
Jiangyin,Nantong,2.7938342967244703
Nantong,Gaogang,12.987012987012985
Gaogang,Nantong,5.78034682080925
Nantong,Zhenjiang,18.939393939393938
Zhenjiang,Nantong,8.42967244701349
Nantong,Nanjing,27.597402597402596
Nanjing,Nantong,12.283236994219655
Nantong,Ma'anshan,32.57575757575757
Ma'anshan,Nantong,14.4990366088632
Nantong,Wuhu,37.229437229437224
Wuhu,Nantong,16.570327552986512
Nantong,Hefei,51.73160173160173
Hefei,Nantong,23.02504816955684
Nantong,Tongling,47.402597402597394
Tongling,Nantong,21.09826589595376
Nantong,Chizhou,51.73160173160172
Chizhou,Nantong,23.02504816955684
Nantong,Anqing,58.008658008657996
Anqing,Nantong,25.81888246628131
Nantong,Jiujiang,74.56709956709955
Jiujiang,Nantong,33.1888246628131
Nantong,Nanchang,92.3160173160173
Nanchang,Nantong,41.088631984585746
Nantong,Huangshi,87.1212121212121
Huangshi,Nantong,38.77649325626205
Nantong,Huanggang,90.58441558441555
Huanggang,Nantong,40.317919075144516
