,Shanghai,Changshu,Port1,Nantong,Zhangjiagang,Jiangyin,Gaogang,Zhenjiang,Nanjing,Ma'anshan,Wuhu,Hefei,Port2,Tongling,Chizhou,Anqing,Jiujiang,Nanchang,Huangshi,Port3,Huanggang,Wuhan,Jiayu,Port4,Honghu,Chenglingji,Changsha,Jingzhou,Yichang,Chongqing
Shanghai,0.0,66.0,90.89934,95.0,117.0,153.0,215.0,270.0,350.0,396.0,439.0,573.0,504.552595,533.0,573.0,631.0,784.0,948.0,900.0,903.013675,932.0,1029.0,1156.0,1199.903006,1201.0,1257.0,1488.0,1653.0,1820.0,2480.0
Changshu,66.0,0.0,24.89934,29.0,51.0,87.0,149.0,204.0,284.0,330.0,373.0,507.0,438.552595,467.0,507.0,565.0,718.0,882.0,834.0,837.013675,866.0,963.0,1090.0,1133.903006,1135.0,1191.0,1422.0,1587.0,1754.0,2414.0
Port1,90.89934,24.89934,0.0,4.10066,26.10066,62.100660000000005,124.10066,179.10066,259.10066,305.10066,348.10066,482.10066,413.653255,442.10066,482.10066,540.1006600000001,693.1006600000001,857.1006600000001,809.1006600000001,812.1143350000001,841.1006600000001,938.10066,1065.10066,1109.003666,1110.10066,1166.10066,1397.10066,1562.10066,1729.10066,2389.10066
Nantong,95.0,29.0,4.10066,0.0,22.0,58.0,120.0,175.0,255.0,301.0,344.0,478.0,409.552595,438.0,478.0,536.0,689.0,853.0,805.0,808.013675,837.0,934.0,1061.0,1104.903006,1106.0,1162.0,1393.0,1558.0,1725.0,2385.0
Zhangjiagang,117.0,51.0,26.10066,22.0,0.0,36.0,98.0,153.0,233.0,279.0,322.0,456.0,387.552595,416.0,456.0,514.0,667.0,831.0,783.0,786.013675,815.0,912.0,1039.0,1082.903006,1084.0,1140.0,1371.0,1536.0,1703.0,2363.0
Jiangyin,153.0,87.0,62.100660000000005,58.0,36.0,0.0,62.0,117.0,197.0,243.0,286.0,420.0,351.552595,380.0,420.0,478.0,631.0,795.0,747.0,750.013675,779.0,876.0,1003.0,1046.903006,1048.0,1104.0,1335.0,1500.0,1667.0,2327.0
Gaogang,215.0,149.0,124.10066,120.0,98.0,62.0,0.0,55.0,135.0,181.0,224.0,358.0,289.552595,318.0,358.0,416.0,569.0,733.0,685.0,688.013675,717.0,814.0,941.0,984.903006,986.0,1042.0,1273.0,1438.0,1605.0,2265.0
Zhenjiang,270.0,204.0,179.10066,175.0,153.0,117.0,55.0,0.0,80.0,126.0,169.0,303.0,234.552595,263.0,303.0,361.0,514.0,678.0,630.0,633.013675,662.0,759.0,886.0,929.903006,931.0,987.0,1218.0,1383.0,1550.0,2210.0
Nanjing,350.0,284.0,259.10066,255.0,233.0,197.0,135.0,80.0,0.0,46.0,89.0,223.0,154.552595,183.0,223.0,281.0,434.0,598.0,550.0,553.013675,582.0,679.0,806.0,849.903006,851.0,907.0,1138.0,1303.0,1470.0,2130.0
Ma'anshan,396.0,330.0,305.10066,301.0,279.0,243.0,181.0,126.0,46.0,0.0,43.0,177.0,108.552595,137.0,177.0,235.0,388.0,552.0,504.0,507.013675,536.0,633.0,760.0,803.903006,805.0,861.0,1092.0,1257.0,1424.0,2084.0
