City1,City2,Distance
Shanghai,Changshu,66.0
Changshu,Port1,24.89934
Port1,Nantong,4.10066
Nantong,Zhangjiagang,22.0
Zhangjiagang,Jiangyin,36.0
Jiangyin,Gaogang,62.0
Gaogang,Zhenjiang,55.0
Zhenjiang,Nanjing,80.0
Nanjing,Ma'anshan,46.0
Ma'anshan,Wuhu,43.0
Wuhu,Port2,65.552595
Port2,Tongling,28.447405
Tongling,Chizhou,40.0
Chizhou,Anqing,58.0
Anqing,Jiujiang,153.0
Jiujiang,Huangshi,116.0
Huangshi,Port3,3.013675
Port3,Huanggang,28.986325
Huanggang,Wuhan,97.0
Wuhan,Jiayu,127.0
Jiayu,Port4,43.903006
Port4,Honghu,1.096994
Honghu,Chenglingji,56.0
Chenglingji,Jingzhou,396.0
Jingzhou,Yichang,167.0
Yichang,Chongqing,660.0
Nanchang,Jiujiang,164.0
Hefei,Wuhu,134.0
Chenglingji,Changsha,231.0
