,Shanghai,Changshu,Nantong,Zhangjiagang,Jiangyin,Gaogang,Zhenjiang,Nanjing,Ma'anshan,Wuhu
Shanghai,0.0,66.0,95.0,117.0,153.0,215.0,270.0,350.0,396.0,439.0
Changshu,66.0,0.0,29.0,51.0,87.0,149.0,204.0,284.0,330.0,373.0
Nantong,95.0,29.0,0.0,22.0,58.0,120.0,175.0,255.0,301.0,344.0
Zhangjiagang,117.0,51.0,22.0,0.0,36.0,98.0,153.0,233.0,279.0,322.0
Jiangyin,153.0,87.0,58.0,36.0,0.0,62.0,117.0,197.0,243.0,286.0
Gaogang,215.0,149.0,120.0,98.0,62.0,0.0,55.0,135.0,181.0,224.0
Zhenjiang,270.0,204.0,175.0,153.0,117.0,55.0,0.0,80.0,126.0,169.0
Nanjing,350.0,284.0,255.0,233.0,197.0,135.0,80.0,0.0,46.0,89.0
Ma'anshan,396.0,330.0,301.0,279.0,243.0,181.0,126.0,46.0,0.0,43.0
Wuhu,439.0,373.0,344.0,322.0,286.0,224.0,169.0,89.0,43.0,0.0
