Source Port,Target Port,Traveltime
Shanghai,Changshu,3.1791907514450872
Changshu,Shanghai,7.142857142857142
Shanghai,Nantong,4.576107899807322
Nantong,Shanghai,10.28138528138528
Shanghai,Zhangjiagang,5.635838150289018
Zhangjiagang,Shanghai,12.662337662337661
Shanghai,Jiangyin,7.3699421965317935
Jiangyin,Shanghai,16.558441558441558
Shanghai,Gaogang,10.356454720616572
Gaogang,Shanghai,23.26839826839827
Shanghai,Zhenjiang,13.005780346820812
Zhenjiang,Shanghai,29.220779220779217
Shanghai,Nanjing,16.85934489402698
Nanjing,Shanghai,37.878787878787875
Shanghai,Ma'anshan,19.075144508670526
Ma'anshan,Shanghai,42.85714285714286
Shanghai,Wuhu,21.14643545279384
Wuhu,Shanghai,47.51082251082251
Changshu,Nantong,1.3969171483622351
Nantong,Changshu,3.1385281385281383
Changshu,Zhangjiagang,2.4566473988439306
Zhangjiagang,Changshu,5.519480519480519
Changshu,Jiangyin,4.190751445086706
Jiangyin,Changshu,9.415584415584416
Changshu,Gaogang,7.177263969171484
Gaogang,Changshu,16.125541125541126
Changshu,Zhenjiang,9.826589595375724
Zhenjiang,Changshu,22.077922077922075
Changshu,Nanjing,13.680154142581891
Nanjing,Changshu,30.735930735930733
Changshu,Ma'anshan,15.895953757225437
Ma'anshan,Changshu,35.714285714285715
Changshu,Wuhu,17.96724470134875
Wuhu,Changshu,40.36796536796537
Nantong,Zhangjiagang,1.0597302504816957
Zhangjiagang,Nantong,2.380952380952381
Nantong,Jiangyin,2.7938342967244703
Jiangyin,Nantong,6.277056277056277
Nantong,Gaogang,5.780346820809249
Gaogang,Nantong,12.987012987012987
Nantong,Zhenjiang,8.429672447013488
Zhenjiang,Nantong,18.939393939393938
Nantong,Nanjing,12.283236994219653
Nanjing,Nantong,27.597402597402596
Nantong,Ma'anshan,14.499036608863198
Ma'anshan,Nantong,32.57575757575758
Nantong,Wuhu,16.570327552986512
Wuhu,Nantong,37.22943722943723
Zhangjiagang,Jiangyin,1.7341040462427748
Jiangyin,Zhangjiagang,3.896103896103896
Zhangjiagang,Gaogang,4.720616570327554
Gaogang,Zhangjiagang,10.606060606060606
Zhangjiagang,Zhenjiang,7.3699421965317935
Zhenjiang,Zhangjiagang,16.558441558441558
Zhangjiagang,Nanjing,11.22350674373796
Nanjing,Zhangjiagang,25.216450216450216
Zhangjiagang,Ma'anshan,13.439306358381506
Ma'anshan,Zhangjiagang,30.194805194805195
Zhangjiagang,Wuhu,15.51059730250482
Wuhu,Zhangjiagang,34.84848484848485
Jiangyin,Gaogang,2.9865125240847785
Gaogang,Jiangyin,6.7099567099567095
Jiangyin,Zhenjiang,5.635838150289018
Zhenjiang,Jiangyin,12.662337662337663
Jiangyin,Nanjing,9.489402697495184
Nanjing,Jiangyin,21.32034632034632
Jiangyin,Ma'anshan,11.705202312138729
Ma'anshan,Jiangyin,26.2987012987013
Jiangyin,Wuhu,13.776493256262043
Wuhu,Jiangyin,30.952380952380953
Gaogang,Zhenjiang,2.6493256262042393
Zhenjiang,Gaogang,5.9523809523809526
Gaogang,Nanjing,6.502890173410405
Nanjing,Gaogang,14.61038961038961
Gaogang,Ma'anshan,8.71868978805395
Ma'anshan,Gaogang,19.58874458874459
Gaogang,Wuhu,10.789980732177264
Wuhu,Gaogang,24.242424242424242
Zhenjiang,Nanjing,3.853564547206166
Nanjing,Zhenjiang,8.658008658008658
Zhenjiang,Ma'anshan,6.069364161849712
Ma'anshan,Zhenjiang,13.636363636363637
Zhenjiang,Wuhu,8.140655105973025
Wuhu,Zhenjiang,18.29004329004329
Nanjing,Ma'anshan,2.2157996146435455
Ma'anshan,Nanjing,4.978354978354978
Nanjing,Wuhu,4.2870905587668595
Wuhu,Nanjing,9.632034632034632
Ma'anshan,Wuhu,2.071290944123314
Wuhu,Ma'anshan,4.653679653679654
