,Shanghai,Port1,Changshu,Nantong,Zhangjiagang,Port2,Jiangyin,Gaogang,Port3,Zhenjiang,Port4,Nanjing,Ma'anshan,Wuhu
Shanghai,0.0,56.667463,66.0,95.0,117.0,142.105249,153.0,215.0,220.179754,270.0,348.04978800000004,350.00000000000006,396.00000000000006,439.00000000000006
Port1,56.667463,0.0,9.332537,38.332537,60.332537,85.437786,96.332537,158.332537,163.512291,213.332537,291.38232500000004,293.33253700000006,339.33253700000006,382.33253700000006
Changshu,66.0,9.332537,0.0,29.0,51.0,76.105249,87.0,149.0,154.179754,204.0,282.04978800000004,284.00000000000006,330.00000000000006,373.00000000000006
Nantong,95.0,38.332537,29.0,0.0,22.0,47.105249,58.0,120.0,125.179754,175.0,253.049788,255.0,301.0,344.0
Zhangjiagang,117.0,60.332537,51.0,22.0,0.0,25.105249,36.0,98.0,103.179754,153.0,231.049788,233.0,279.0,322.0
Port2,142.105249,85.437786,76.105249,47.105249,25.105249,0.0,10.894751,72.894751,78.074505,127.894751,205.944539,207.894751,253.894751,296.89475100000004
Jiangyin,153.0,96.332537,87.0,58.0,36.0,10.894751,0.0,62.0,67.179754,117.0,195.049788,197.0,243.0,286.0
Gaogang,215.0,158.332537,149.0,120.0,98.0,72.894751,62.0,0.0,5.179754,55.0,133.049788,135.0,181.0,224.0
Port3,220.179754,163.512291,154.179754,125.179754,103.179754,78.074505,67.179754,5.179754,0.0,49.820246,127.870034,129.820246,175.820246,218.820246
Zhenjiang,270.0,213.332537,204.0,175.0,153.0,127.894751,117.0,55.0,49.820246,0.0,78.049788,80.0,126.0,169.0
Port4,348.04978800000004,291.38232500000004,282.04978800000004,253.049788,231.049788,205.944539,195.049788,133.049788,127.870034,78.049788,0.0,1.950212,47.950212,90.950212
Nanjing,350.00000000000006,293.33253700000006,284.00000000000006,255.0,233.0,207.894751,197.0,135.0,129.820246,80.0,1.950212,0.0,46.0,89.0
Ma'anshan,396.00000000000006,339.33253700000006,330.00000000000006,301.0,279.0,253.894751,243.0,181.0,175.820246,126.0,47.950212,46.0,0.0,43.0
Wuhu,439.00000000000006,382.33253700000006,373.00000000000006,344.0,322.0,296.89475100000004,286.0,224.0,218.820246,169.0,90.950212,89.0,43.0,0.0
