,Shanghai,Port1,Changshu,Nantong,Zhangjiagang,Port2,Port3,Jiangyin,Gaogang,Port4,Zhenjiang,Port5,Nanjing,Port6,Ma'anshan,Wuhu
Shanghai,0.0,46.02629,66.0,95.0,117.0,120.390385,152.122405,153.0,215.0,256.862684,270.0,332.885144,349.99999999999994,355.893227,396.0,439.0
Port1,46.02629,0.0,19.97371,48.97371,70.97371,74.36409499999999,106.096115,106.97371,168.97370999999998,210.836394,223.97371,286.85885399999995,303.9737099999999,309.86693699999995,349.9737099999999,392.9737099999999
Changshu,66.0,19.97371,0.0,29.0,51.0,54.390385,86.122405,87.0,149.0,190.862684,204.0,266.885144,283.99999999999994,289.893227,329.99999999999994,373.0
Nantong,95.0,48.97371,29.0,0.0,22.0,25.390385,57.122405,58.0,120.0,161.862684,175.0,237.885144,255.0,260.893227,301.0,344.0
Zhangjiagang,117.0,70.97371,51.0,22.0,0.0,3.390385,35.122405,36.0,98.0,139.862684,153.0,215.885144,233.0,238.893227,279.0,322.0
Port2,120.390385,74.36409499999999,54.390385,25.390385,3.390385,0.0,31.73202,32.609615,94.609615,136.472299,149.609615,212.494759,229.609615,235.502842,275.609615,318.609615
Port3,152.122405,106.096115,86.122405,57.122405,35.122405,31.73202,0.0,0.877595,62.877595,104.740279,117.877595,180.762739,197.877595,203.770822,243.877595,286.87759500000004
Jiangyin,153.0,106.97371,87.0,58.0,36.0,32.609615,0.877595,0.0,62.0,103.862684,117.0,179.885144,197.0,202.893227,243.0,286.0
Gaogang,215.0,168.97370999999998,149.0,120.0,98.0,94.609615,62.877595,62.0,0.0,41.862684,55.0,117.885144,135.0,140.893227,181.0,224.0
Port4,256.862684,210.836394,190.862684,161.862684,139.862684,136.472299,104.740279,103.862684,41.862684,0.0,13.137316,76.02246,93.137316,99.030543,139.137316,182.137316
Zhenjiang,270.0,223.97371,204.0,175.0,153.0,149.609615,117.877595,117.0,55.0,13.137316,0.0,62.885144,80.0,85.893227,126.0,169.0
Port5,332.885144,286.85885399999995,266.885144,237.885144,215.885144,212.494759,180.762739,179.885144,117.885144,76.02246,62.885144,0.0,17.114856,23.008083,63.114856,106.114856
Nanjing,349.99999999999994,303.9737099999999,283.99999999999994,255.0,233.0,229.609615,197.877595,197.0,135.0,93.137316,80.0,17.114856,0.0,5.893227,46.0,89.0
Port6,355.893227,309.86693699999995,289.893227,260.893227,238.893227,235.502842,203.770822,202.893227,140.893227,99.030543,85.893227,23.008083,5.893227,0.0,40.106773,83.106773
Ma'anshan,396.0,349.9737099999999,329.99999999999994,301.0,279.0,275.609615,243.877595,243.0,181.0,139.137316,126.0,63.114856,46.0,40.106773,0.0,43.0
Wuhu,439.0,392.9737099999999,373.0,344.0,322.0,318.609615,286.87759500000004,286.0,224.0,182.137316,169.0,106.114856,89.0,83.106773,43.0,0.0
