,Shanghai,Port1,Port2,Changshu,Nantong,Zhangjiagang,Port3,Port4,Jiangyin,Gaogang,Port5,Zhenjiang,Port6,Port7,Nanjing,Port8,Ma'anshan,Wuhu
Shanghai,0.0,6.215705,64.391075,66.0,95.0,117.0,144.401029,145.298315,153.0,215.0,222.04625,270.0,299.663842,306.030875,350.0,392.631189,396.0,439.0
Port1,6.215705,0.0,58.17537,59.784295,88.784295,110.784295,138.185324,139.08261000000002,146.784295,208.784295,215.830545,263.784295,293.448137,299.81517,343.784295,386.415484,389.784295,432.784295
Port2,64.391075,58.17537,0.0,1.608925,30.608925,52.608925,80.009954,80.90723999999999,88.60892499999999,150.608925,157.655175,205.608925,235.272767,241.6398,285.608925,328.240114,331.608925,374.608925
Changshu,66.0,59.784295,1.608925,0.0,29.0,51.0,78.401029,79.29831499999999,86.99999999999999,149.0,156.04625,204.0,233.663842,240.030875,284.0,326.631189,330.0,373.0
Nantong,95.0,88.784295,30.608925,29.0,0.0,22.0,49.401029,50.298315,58.0,120.0,127.04625,175.0,204.663842,211.030875,255.0,297.63118899999995,300.99999999999994,343.99999999999994
Zhangjiagang,117.0,110.784295,52.608925,51.0,22.0,0.0,27.401029,28.298315,36.0,98.0,105.04625,153.0,182.663842,189.030875,233.0,275.63118899999995,278.99999999999994,321.99999999999994
Port3,144.401029,138.185324,80.009954,78.401029,49.401029,27.401029,0.0,0.897286,8.598971,70.598971,77.645221,125.598971,155.262813,161.629846,205.598971,248.23016,251.598971,294.598971
Port4,145.298315,139.08261000000002,80.90723999999999,79.29831499999999,50.298315,28.298315,0.897286,0.0,7.701685,69.701685,76.747935,124.701685,154.365527,160.73255999999998,204.701685,247.332874,250.701685,293.701685
Jiangyin,153.0,146.784295,88.60892499999999,86.99999999999999,58.0,36.0,8.598971,7.701685,0.0,62.0,69.04625,117.0,146.663842,153.03087499999998,197.0,239.631189,243.0,286.0
Gaogang,215.0,208.784295,150.608925,149.0,120.0,98.0,70.598971,69.701685,62.0,0.0,7.04625,55.0,84.663842,91.030875,135.0,177.631189,181.0,224.0
Port5,222.04625,215.830545,157.655175,156.04625,127.04625,105.04625,77.645221,76.747935,69.04625,7.04625,0.0,47.95375,77.617592,83.98462500000001,127.95375,170.58493900000002,173.95375,216.95375
Zhenjiang,270.0,263.784295,205.608925,204.0,175.0,153.0,125.598971,124.701685,117.0,55.0,47.95375,0.0,29.663842,36.030875,80.0,122.631189,126.0,169.0
Port6,299.663842,293.448137,235.272767,233.663842,204.663842,182.663842,155.262813,154.365527,146.663842,84.663842,77.617592,29.663842,0.0,6.367033,50.336158,92.967347,96.33615799999998,139.33615799999998
Port7,306.030875,299.81517,241.6398,240.030875,211.030875,189.030875,161.629846,160.73255999999998,153.03087499999998,91.030875,83.98462500000001,36.030875,6.367033,0.0,43.969125,86.600314,89.96912499999999,132.969125
Nanjing,350.0,343.784295,285.608925,284.0,255.0,233.0,205.598971,204.701685,197.0,135.0,127.95375,80.0,50.336158,43.969125,0.0,42.631189,46.0,89.0
Port8,392.631189,386.415484,328.240114,326.631189,297.63118899999995,275.63118899999995,248.23016,247.332874,239.631189,177.631189,170.58493900000002,122.631189,92.967347,86.600314,42.631189,0.0,3.368811,46.368811
Ma'anshan,396.0,389.784295,331.608925,330.0,300.99999999999994,278.99999999999994,251.598971,250.701685,243.0,181.0,173.95375,126.0,96.33615799999998,89.96912499999999,46.0,3.368811,0.0,43.0
Wuhu,439.0,432.784295,374.608925,373.0,343.99999999999994,321.99999999999994,294.598971,293.701685,286.0,224.0,216.95375,169.0,139.33615799999998,132.969125,89.0,46.368811,43.0,0.0
