,Shanghai,Port1,Port2,Port3,Changshu,Port4,Nantong,Zhangjiagang,Port5,Port6,Jiangyin,Gaogang,Port7,Zhenjiang,Port8,Port9,Nanjing,Port10,Ma'anshan,Wuhu
Shanghai,0.0,50.23522,51.880244,64.391075,66.0,69.715295,95.0,117.0,130.348729,133.21389399999998,152.99999999999997,215.0,265.972074,269.99999999999994,321.50920999999994,335.8209289999999,349.99999999999994,370.3970529999999,395.9999999999999,438.9999999999999
Port1,50.23522,0.0,1.645024,14.155855,15.764779999999998,19.480075,44.76478,66.76478,80.11350900000001,82.97867400000001,102.76478000000002,164.76478000000003,215.736854,219.76478000000003,271.27399,285.585709,299.76478000000003,320.161833,345.76478,388.76478
Port2,51.880244,1.645024,0.0,12.510831,14.119756,17.835051,43.119756,65.119756,78.468485,81.33365,101.119756,163.119756,214.09183,218.119756,269.628966,283.940685,298.119756,318.516809,344.11975599999994,387.119756
Port3,64.391075,14.155855,12.510831,0.0,1.608925,5.32422,30.608925,52.608925,65.957654,68.82281900000001,88.60892500000001,150.608925,201.580999,205.608925,257.118135,271.429854,285.608925,306.005978,331.608925,374.608925
Changshu,66.0,15.764779999999998,14.119756,1.608925,0.0,3.715295,29.0,51.0,64.348729,67.21389400000001,87.00000000000001,149.0,199.972074,204.0,255.50921,269.820929,284.0,304.397053,330.0,373.0
Port4,69.715295,19.480075,17.835051,5.32422,3.715295,0.0,25.284705,47.284705,60.633434,63.498599,83.284705,145.284705,196.256779,200.284705,251.793915,266.105634,280.28470500000003,300.68175800000006,326.28470500000003,369.284705
Nantong,95.0,44.76478,43.119756,30.608925,29.0,25.284705,0.0,22.0,35.348729,38.213894,58.0,120.0,170.972074,175.0,226.50921,240.820929,255.0,275.397053,301.0,344.0
Zhangjiagang,117.0,66.76478,65.119756,52.608925,51.0,47.284705,22.0,0.0,13.348729,16.213894,36.0,98.0,148.972074,153.0,204.50921,218.820929,233.0,253.397053,279.0,322.0
Port5,130.348729,80.11350900000001,78.468485,65.957654,64.348729,60.633434,35.348729,13.348729,0.0,2.865165,22.651271,84.65127100000001,135.623345,139.651271,191.160481,205.4722,219.651271,240.048324,265.651271,308.651271
Port6,133.21389399999998,82.97867400000001,81.33365,68.82281900000001,67.21389400000001,63.498599,38.213894,16.213894,2.865165,0.0,19.786106,81.786106,132.75818,136.78610600000002,188.295316,202.607035,216.786106,237.183159,262.786106,305.786106
Jiangyin,152.99999999999997,102.76478000000002,101.119756,88.60892500000001,87.00000000000001,83.284705,58.0,36.0,22.651271,19.786106,0.0,62.0,112.972074,117.0,168.50921,182.820929,197.0,217.397053,243.0,286.0
Gaogang,215.0,164.76478000000003,163.119756,150.608925,149.0,145.284705,120.0,98.0,84.65127100000001,81.786106,62.0,0.0,50.972074,55.0,106.50921,120.820929,135.0,155.397053,181.0,224.0
Port7,265.972074,215.736854,214.09183,201.580999,199.972074,196.256779,170.972074,148.972074,135.623345,132.75818,112.972074,50.972074,0.0,4.027926,55.537136,69.848855,84.02792600000001,104.424979,130.027926,173.027926
Zhenjiang,269.99999999999994,219.76478000000003,218.119756,205.608925,204.0,200.284705,175.0,153.0,139.651271,136.78610600000002,117.0,55.0,4.027926,0.0,51.50921,65.820929,80.0,100.397053,126.0,169.0
Port8,321.50920999999994,271.27399,269.628966,257.118135,255.50921,251.793915,226.50921,204.50921,191.160481,188.295316,168.50921,106.50921,55.537136,51.50921,0.0,14.311719,28.49079,48.887843,74.49079,117.49079
Port9,335.8209289999999,285.585709,283.940685,271.429854,269.820929,266.105634,240.820929,218.820929,205.4722,202.607035,182.820929,120.820929,69.848855,65.820929,14.311719,0.0,14.179071,34.576124,60.179071,103.179071
Nanjing,349.99999999999994,299.76478000000003,298.119756,285.608925,284.0,280.28470500000003,255.0,233.0,219.651271,216.786106,197.0,135.0,84.02792600000001,80.0,28.49079,14.179071,0.0,20.397053,46.0,89.0
Port10,370.3970529999999,320.161833,318.516809,306.005978,304.397053,300.68175800000006,275.397053,253.397053,240.048324,237.183159,217.397053,155.397053,104.424979,100.397053,48.887843,34.576124,20.397053,0.0,25.602947,68.602947
Ma'anshan,395.9999999999999,345.76478,344.11975599999994,331.608925,330.0,326.28470500000003,301.0,279.0,265.651271,262.786106,243.0,181.0,130.027926,126.0,74.49079,60.179071,46.0,25.602947,0.0,43.0
Wuhu,438.9999999999999,388.76478,387.119756,374.608925,373.0,369.284705,344.0,322.0,308.651271,305.786106,286.0,224.0,173.027926,169.0,117.49079,103.179071,89.0,68.602947,43.0,0.0
