Source Port,Target Port,Distance
Shanghai,Port1,50.23522
Shanghai,Port2,51.880244
Shanghai,Port3,64.391075
Shanghai,Changshu,66.0
Shanghai,Port4,69.715295
Shanghai,Nantong,95.0
Shanghai,Zhangjiagang,117.0
Shanghai,Port5,130.348729
Shanghai,Port6,133.21389399999998
Shanghai,Jiangyin,152.99999999999997
Shanghai,Gaogang,214.99999999999997
Shanghai,Port7,265.97207399999996
Shanghai,Zhenjiang,269.99999999999994
Shanghai,Port8,321.50920999999994
Shanghai,Port9,335.8209289999999
Shanghai,Nanjing,349.99999999999994
Shanghai,Port10,370.3970529999999
Shanghai,Ma'anshan,395.9999999999999
Shanghai,Wuhu,438.9999999999999
Port1,Port2,1.645024
Port1,Port3,14.155854999999999
Port1,Changshu,15.764779999999998
Port1,Port4,19.480075
Port1,Nantong,44.76478
Port1,Zhangjiagang,66.76478
Port1,Port5,80.11350900000001
Port1,Port6,82.97867400000001
Port1,Jiangyin,102.76478000000002
Port1,Gaogang,164.76478000000003
Port1,Port7,215.73685400000002
Port1,Zhenjiang,219.76478000000003
Port1,Port8,271.27399
Port1,Port9,285.585709
Port1,Nanjing,299.76478000000003
Port1,Port10,320.161833
Port1,Ma'anshan,345.76478
Port1,Wuhu,388.76478
Port2,Port3,12.510831
Port2,Changshu,14.119755999999999
Port2,Port4,17.835051
Port2,Nantong,43.119755999999995
Port2,Zhangjiagang,65.119756
Port2,Port5,78.468485
Port2,Port6,81.33365
Port2,Jiangyin,101.11975600000001
Port2,Gaogang,163.119756
Port2,Port7,214.09183
Port2,Zhenjiang,218.119756
Port2,Port8,269.628966
Port2,Port9,283.940685
Port2,Nanjing,298.119756
Port2,Port10,318.51680899999997
Port2,Ma'anshan,344.11975599999994
Port2,Wuhu,387.11975599999994
Port3,Changshu,1.608925
Port3,Port4,5.3242199999999995
Port3,Nantong,30.608925
Port3,Zhangjiagang,52.608925
Port3,Port5,65.957654
Port3,Port6,68.82281900000001
Port3,Jiangyin,88.60892500000001
Port3,Gaogang,150.608925
Port3,Port7,201.580999
Port3,Zhenjiang,205.608925
Port3,Port8,257.118135
Port3,Port9,271.429854
Port3,Nanjing,285.608925
Port3,Port10,306.005978
Port3,Ma'anshan,331.608925
Port3,Wuhu,374.608925
Changshu,Port4,3.715295
Changshu,Nantong,29.0
Changshu,Zhangjiagang,51.0
Changshu,Port5,64.348729
Changshu,Port6,67.21389400000001
Changshu,Jiangyin,87.00000000000001
Changshu,Gaogang,149.0
Changshu,Port7,199.972074
Changshu,Zhenjiang,204.0
Changshu,Port8,255.50921
Changshu,Port9,269.820929
Changshu,Nanjing,284.0
Changshu,Port10,304.397053
Changshu,Ma'anshan,330.0
Changshu,Wuhu,373.0
Port4,Nantong,25.284705
Port4,Zhangjiagang,47.284705
Port4,Port5,60.633434
Port4,Port6,63.498599
Port4,Jiangyin,83.284705
Port4,Gaogang,145.284705
Port4,Port7,196.256779
Port4,Zhenjiang,200.284705
Port4,Port8,251.793915
Port4,Port9,266.105634
Port4,Nanjing,280.28470500000003
Port4,Port10,300.68175800000006
